Id,Rcvr,HasSig,Icao,Bad,Reg,FSeen,CMsgs,Alt,GAlt,AltT,Tisb,TrkH,Type,Mdl,Man,CNum,Op,OpIcao,Sqk,VsiT,WTC,Species,Engines,EngType,EngMount,Mil,Cou,HasPic,Interested,FlightsCount,Gnd,SpdTyp,CallSus,Trt,Year,Icon
3421386,1,FALSE,3434CA,FALSE,EC-LEV,/Date(1530675254135)/,1,36000,36000,0,FALSE,FALSE,A346,Airbus A340 642,Airbus,1079,Iberia,IBE,,0,3,1,4,3,0,FALSE,Spain,FALSE,FALSE,0,FALSE,0,FALSE,1,2009,place
8154099,1,FALSE,7C6BF3,FALSE,VH-VLX,/Date(1530675252807)/,2,,,0,FALSE,FALSE,R66,Robinson R66,Robinson,66,Tatankaa P/L,,,0,1,4,1,2,0,FALSE,Australia,FALSE,FALSE,0,,0,FALSE,1,2011,place
8147707,1,FALSE,7C52FB,FALSE,VH-QOD,/Date(1530675252807)/,2,,,0,FALSE,FALSE,DH8D,Bombardier DHC-8 402,Bombardier,4123,QANTAS Link,SSQ,,0,2,1,2,2,0,FALSE,Australia,FALSE,FALSE,0,FALSE,0,FALSE,1,2006,place
12615320,1,FALSE,C07E98,FALSE,C-GVYL,/Date(1530675251151)/,1,33225,33225,0,FALSE,FALSE,AS50,Aerospatiale Squirrel AS.350 D,Aerospatiale,1062,Private,,,0,1,4,1,2,0,FALSE,Canada,FALSE,FALSE,0,TRUE,0,FALSE,1,1979,place
5023844,1,FALSE,4CA864,FALSE,EI-FPJ,/Date(1530675251151)/,2,300,300,0,FALSE,FALSE,CRJ9,Bombardier CRJ 900 LR NG,Bombardier,15426,Scandinavian Airlines System,BCY,217,0,2,1,2,3,1,FALSE,Ireland,FALSE,FALSE,0,TRUE,0,FALSE,2,2017,place
10885672,1,FALSE,A61A28,FALSE,N4922D,/Date(1530675249854)/,2,425,446,0,FALSE,FALSE,C172,Cessna 172N Skyhawk,Cessna,17272398,Private,,,0,1,1,1,1,0,FALSE,United States,FALSE,FALSE,0,,0,FALSE,2,1979,place
7866886,1,TRUE,780A06,FALSE,B-LND,/Date(1530675249854)/,4,38000,38000,0,FALSE,FALSE,A332,Airbus A330 223,Airbus,1042,Hong Kong Airlines,CRK,,0,3,1,2,3,0,FALSE,Hong Kong,FALSE,FALSE,0,FALSE,0,FALSE,1,2009,place
10648302,1,TRUE,A27AEE,FALSE,N259WN,/Date(1530675249854)/,3,1325,1325,0,FALSE,FALSE,B737,2006 BOEING 737-7H4,Boeing,35554,Southwest Airlines,SWA,3177,0,2,1,2,3,0,FALSE,United States,FALSE,FALSE,0,FALSE,0,FALSE,1,2006,place
7868124,1,FALSE,780EDC,FALSE,B-8237,/Date(1530675249854)/,1,19825,19492,0,FALSE,FALSE,A320,Airbus A320 232SL,Airbus,6792,China Eastern Airlines,CES,,0,2,1,2,3,0,FALSE,China,FALSE,FALSE,0,,0,FALSE,2,2015,place
8133035,1,FALSE,7C19AB,FALSE,VH-FCT,/Date(1530675248448)/,5,7300,7469,0,FALSE,FALSE,BE36,Beech Bonanza A36,Beech,E-581,Private,,1200,0,1,1,1,1,0,FALSE,Australia,FALSE,FALSE,0,FALSE,0,FALSE,2,1974,place
7868397,1,FALSE,780FED,FALSE,B-8572,/Date(1530675248448)/,2,2925,2503,0,FALSE,FALSE,A321,Airbus A321 211SL,Airbus,7254,China Eastern Airlines,CES,,0,2,1,2,3,0,FALSE,China,FALSE,FALSE,0,,0,FALSE,2,2016,place
8147727,1,FALSE,7C530F,FALSE,VH-QOX,/Date(1530675245354)/,6,16975,17380,0,FALSE,FALSE,DH8D,Bombardier DHC-8 402,Bombardier,4287,QANTAS Link,SSQ,4336,0,2,1,2,2,0,FALSE,Australia,FALSE,FALSE,0,FALSE,0,FALSE,2,2009,place
11271564,1,TRUE,ABFD8C,FALSE,N8718Q,/Date(1530675245354)/,4,11675,11675,0,FALSE,FALSE,B38M,Boeing 737MAX 8,Boeing,42546,Southwest Airlines,SWA,,1,2,1,2,3,0,FALSE,United States,FALSE,FALSE,0,FALSE,0,FALSE,2,2018,place
13345309,1,FALSE,CBA21D,FALSE,,/Date(1530675245354)/,2,8750,8750,0,FALSE,FALSE,,,,,,,,0,0,0,,0,0,FALSE,Unknown or unassigned country,FALSE,FALSE,0,,0,FALSE,1,,place
4735284,1,TRUE,484134,FALSE,PH-HZD,/Date(1530675245354)/,6,-75,-75,0,FALSE,FALSE,B738,Boeing 737NG 8K2/W,Boeing,28376,Transavia,TRA,3174,0,2,1,2,3,0,FALSE,Netherlands,FALSE,FALSE,0,TRUE,0,FALSE,2,1999,place
7787084,1,FALSE,76D24C,FALSE,9V-TRL,/Date(1530675245354)/,6,32000,31903,0,FALSE,FALSE,A320,Airbus A320 232SL,Airbus,5721,Tiger Airways,TGW,,0,2,1,2,3,0,FALSE,Singapore,FALSE,FALSE,0,FALSE,0,FALSE,2,2013,place
